final_value,total_invested,total_shares,roi_percent
417110.73573891725,261000,56.09866102941371,59.81254242870393
697497.3833618556,261000,32.04729127486043,167.2403767669945
193729.5595011617,261000,33.058237619258044,-25.77411513365452
208218.00598238228,261000,53.274446144347216,-20.222986213646635
301092.04023322853,261000,53.26595107216635,15.360934955259973
312326.6535856506,261000,48.5376309939567,19.665384515574946
214849.7240226095,261000,68.57331435662746,-17.682098075628545
290794.2048802328,261000,75.40456163103417,11.415404168671573
424734.24349471246,261000,48.189992863148404,62.73342662632662
455982.1441124897,261000,39.816492035502115,74.70580234195008
237534.04340193118,261000,52.93462751262256,-8.990787968608743
228832.87814935797,261000,70.32173834597343,-12.324567758866676
545047.6359692365,261000,46.7963726990942,108.83051186560786
474167.40503701096,261000,29.493005424595708,81.6733352632226
559079.0935959477,261000,38.66235087784326,114.20654927047806
347961.3169280802,261000,52.32654764699403,33.31851223298093
378612.5180456733,261000,51.6993676977868,45.06226745044955
160792.41864249363,261000,53.188381184512245,-38.39370933237792
255718.21542049025,261000,34.536624615794906,-2.0236722526857287
463701.8688913067,261000,33.832677692355546,77.66355129935121
422486.2484206797,261000,36.00941061986507,61.87212583167805
223811.98484274853,261000,60.55184240036816,-14.24828166944501
473374.46015226626,261000,44.98794733391912,81.36952496255412
186640.30565839104,261000,73.12723002829895,-28.490304345444045
347643.87901150476,261000,35.783955323457825,33.196888510155084
218295.48434084543,261000,62.379804608433055,-16.361883394312095
163445.46306174315,261000,56.757816207201095,-37.37721721772293
275210.0934517429,261000,45.791647507626045,5.4444802497099225
345265.1592719575,261000,39.87941811497322,32.28550163676533
273511.74769083696,261000,54.78448435529552,4.793773061623355
403576.82863197185,261000,39.86089409863912,54.627137406885765
506113.4529154763,261000,34.63756992690013,93.9132003507572
310651.70286852197,261000,74.78819464257897,19.023640945793858
339691.68247739534,261000,33.14261668878993,30.15006991471086
208387.6498680886,261000,79.58035938238659,-20.157988556287894
241205.1009824424,261000,57.87577268122911,-7.584252497148501
169627.5981989316,261000,46.0781548164427,-35.00858306554345
345100.2551459221,261000,72.15597255197332,32.22231997928051
261702.42405217513,261000,84.09797128698492,0.26912798933913196
230142.02076006596,261000,54.28121099729232,-11.822980551698864
329254.7206105867,261000,41.73917849092066,26.15123395041636
349961.1509571629,261000,58.37968727036973,34.08473216749536
119221.1445263768,261000,61.19414487931437,-54.32140056460659
431761.1751198524,261000,39.16864681258104,65.42573759381318
414823.1912172202,261000,37.195955194685645,58.936088588973256
210265.85197557462,261000,61.588557925219725,-19.438370890584437
227212.93027277995,261000,46.40626046300382,-12.945237443379328
286313.4564632953,261000,49.55268302624882,9.698642323101657
161782.5116491249,261000,67.91903876617631,-38.01436335282571
209339.70193450878,261000,73.45829113409084,-19.793217649613496
406031.0844396269,261000,43.51509165951906,55.56746530253904
257252.48282433738,261000,41.820026892712775,-1.4358303355029205
347555.56893800595,261000,43.44556940578501,33.16305323295247
166511.19651141626,261000,59.09490742642027,-36.2026067006068
516599.0791261261,261000,25.323315436827695,97.93068165751957
434809.5694720273,261000,33.49798243484089,66.59370477855452
381551.0369894517,261000,64.17122023398039,46.18813677756769
317987.2928244071,261000,55.760772077783955,21.834211810117665
184737.42080613488,261000,64.61861522868281,-29.21937900148089
310220.50370677287,261000,54.814898049628944,18.85843053899344
557924.7251700873,261000,41.11747935024794,113.76426251727483
307282.9162985498,261000,39.00263198757927,17.732918122049732
280342.91989376146,261000,42.354162110615846,7.4110804190656925
273088.8077826957,261000,56.47271545143581,4.631727119806777
184909.98874833723,261000,48.03486812930004,-29.153261015962745
469397.82071981544,261000,33.582472512444895,79.84590832176836
247549.09160190972,261000,67.87686084841839,-5.153604750226161
228546.7125779474,261000,56.0665864703915,-12.434209740250044
189425.9427102682,261000,73.00177490881035,-27.42301045583594
265022.6396810717,261000,43.01244894538225,1.5412412571155876
