Final_Value,Total_Return,Annualized_Return
117503.05549723856,0.1750305549723856,0.17503055497238562
80630.8296121482,-0.19369170387851803,-0.19369170387851797
48589.13623195484,-0.5141086376804516,-0.5141086376804516
58040.301993626774,-0.41959698006373225,-0.41959698006373225
63528.718373617994,-0.36471281626382007,-0.36471281626382
48258.94669893287,-0.5174105330106713,-0.5174105330106713
129675.19270771589,0.2967519270771589,0.2967519270771588
94457.24838848937,-0.05542751611510626,-0.05542751611510621
59483.182604560345,-0.4051681739543965,-0.4051681739543965
70888.78962605058,-0.2911121037394942,-0.29111210373949414
72780.12121241106,-0.2721987878758894,-0.27219878787588936
110030.51118890145,0.10030511188901452,0.10030511188901459
63622.24707610293,-0.36377752923897066,-0.36377752923897066
181811.87509772234,0.8181187509772234,0.8181187509772234
73095.93405460093,-0.26904065945399064,-0.2690406594539907
66858.83866910878,-0.3314116133089122,-0.3314116133089122
141479.5541301234,0.414795541301234,0.4147955413012341
182872.44481861577,0.8287244481861576,0.8287244481861578
58689.426542217465,-0.41310573457782535,-0.4131057345778254
41608.51347002652,-0.5839148652997348,-0.5839148652997348
88416.91513542378,-0.11583084864576217,-0.11583084864576221
56149.42722810832,-0.4385057277189168,-0.4385057277189168
81343.75691761111,-0.18656243082388888,-0.1865624308238889
76297.71482131683,-0.23702285178683175,-0.2370228517868317
152730.56972771717,0.5273056972771717,0.5273056972771717
31552.40936140372,-0.6844759063859628,-0.6844759063859628
82260.37493822086,-0.17739625061779138,-0.1773962506177914
103593.24699724428,0.03593246997244278,0.035932469972442815
59603.955564674194,-0.40396044435325806,-0.40396044435325806
104509.0695600283,0.04509069560028307,0.045090695600283004
55354.98166669643,-0.44645018333303566,-0.44645018333303566
97121.67850775347,-0.02878321492246527,-0.028783214922465272
81231.12300222508,-0.1876887699777492,-0.1876887699777492
122787.11530199963,0.22787115301999628,0.22787115301999616
199951.55570812133,0.9995155570812133,0.9995155570812133
142644.68167438486,0.4264468167438486,0.42644681674384866
191054.31055102806,0.9105431055102806,0.9105431055102806
157088.56299561574,0.5708856299561573,0.5708856299561573
33820.85593422079,-0.6617914406577922,-0.661791440657792
36750.83655864344,-0.6324916344135656,-0.6324916344135656
122817.2447031094,0.22817244703109404,0.22817244703109396
118432.62113624036,0.18432621136240357,0.18432621136240357
74396.57645071286,-0.25603423549287135,-0.2560342354928714
66752.31265634204,-0.3324768734365796,-0.3324768734365796
238470.0224391751,1.384700224391751,1.384700224391751
165928.59324823308,0.6592859324823308,0.6592859324823308
72678.91664820141,-0.27321083351798586,-0.2732108335179859
129948.11184411308,0.29948111844113084,0.2994811184411308
79534.07250646815,-0.20465927493531855,-0.20465927493531855
37129.82678908617,-0.6287017321091383,-0.6287017321091384
85184.77540841793,-0.14815224591582069,-0.14815224591582066
61877.961469094116,-0.38122038530905883,-0.3812203853090589
49018.32127051898,-0.5098167872948102,-0.5098167872948103
59090.273168686865,-0.40909726831313137,-0.4090972683131313
35075.129359645376,-0.6492487064035463,-0.6492487064035463
110995.7759617375,0.10995775961737497,0.10995775961737508
147815.18131640364,0.47815181316403643,0.4781518131640363
129455.94502976902,0.2945594502976902,0.29455945029769026
79047.20419674071,-0.20952795803259286,-0.20952795803259283
72249.14666985298,-0.2775085333014702,-0.2775085333014702
94402.37716528379,-0.05597622834716211,-0.055976228347162094
79309.5159372722,-0.206904840627278,-0.20690484062727799
187005.3399984132,0.870053399984132,0.870053399984132
48481.47351218989,-0.5151852648781011,-0.515185264878101
89733.68319082419,-0.10266316809175813,-0.10266316809175813
87002.11480756212,-0.12997885192437883,-0.12997885192437886
65952.25500045405,-0.3404774499954595,-0.3404774499954595
61292.926337669734,-0.38707073662330266,-0.3870707366233026
79861.58661710395,-0.20138413382896048,-0.20138413382896048
67667.06423454543,-0.32332935765454573,-0.32332935765454573
28345.03006902297,-0.7165496993097704,-0.7165496993097703
86591.1519773894,-0.13408848022610603,-0.1340884802261061
122141.92753979092,0.22141927539790923,0.22141927539790918
34710.91245896789,-0.6528908754103211,-0.6528908754103211
130082.32121155372,0.3008232121155372,0.3008232121155372
88641.52674711953,-0.11358473252880474,-0.11358473252880474
29948.00433808871,-0.7005199566191129,-0.7005199566191129
103257.05014242507,0.032570501424250685,0.032570501424250775
64200.14388609812,-0.3579985611390188,-0.35799856113901873
43014.519261646565,-0.5698548073835343,-0.5698548073835343
57634.80678303029,-0.4236519321696971,-0.4236519321696971
131874.26555817877,0.3187426555817877,0.3187426555817876
61629.320140280666,-0.3837067985971933,-0.38370679859719337
91941.81860227794,-0.08058181397722058,-0.08058181397722064
102419.22589378871,0.024192258937887092,0.024192258937887123
81915.53620765662,-0.18084463792343378,-0.18084463792343375
52972.90227881061,-0.4702709772118939,-0.4702709772118939
52603.021692534,-0.47396978307466003,-0.47396978307466
57916.81553204398,-0.42083184467956025,-0.42083184467956025
185170.31422067783,0.8517031422067782,0.8517031422067782
107308.22443079702,0.07308224430797025,0.07308224430797017
43424.83713768957,-0.5657516286231044,-0.5657516286231044
101855.30403767138,0.01855304037671376,0.018553040376713792
45088.57515535826,-0.5491142484464174,-0.5491142484464174
151567.26647185037,0.5156726647185037,0.5156726647185037
145621.64707217898,0.45621647072178984,0.4562164707217897
127540.49971240603,0.2754049971240603,0.2754049971240604
34114.65332898353,-0.6588534667101648,-0.6588534667101646
79877.61517568129,-0.2012238482431871,-0.20122384824318706
65013.88713937896,-0.3498611286062104,-0.34986112860621044
73807.3420100957,-0.261926579899043,-0.261926579899043
81439.96531631239,-0.18560034683687612,-0.1856003468368761
