final_value,total_invested,total_btc,roi_percent
185080934.17799684,261000,0.0159509132445376,70812.23531724018
137932.2151147534,261000,40933457.668190435,-47.15240800201019
232798.54730205098,261000,0.46102754116669087,-10.805154290401923
2164646.461980518,261000,183.6077448754506,729.3664605289341
257711.9901112414,261000,4.381291840756626,-1.2597739037389242
126623.53019994634,261000,2.5578864339371163,-51.485237471284925
564157.186665752,261000,0.0845554576635845,116.15217879913868
228658.53640788392,261000,2.949757510384839,-12.391365360964016
122627.75709104714,261000,4158.612420158306,-53.0161850225873
171787.54862598007,261000,1.92020910021928,-34.18101585211492
256862.1358004038,261000,122389.99518970858,-1.5853885822207643
585283.8907322617,261000,11.998154426036391,124.24670142998534
1011164.668340241,261000,95280.35457532355,287.41941315718043
431293.52020144265,261000,2.2395468884396315,65.24655946415427
1363252.1642067444,261000,0.023225088798317747,422.31883686082165
205785.51014891284,261000,0.06057935582820368,-21.154976954439526
321602.638516788,261000,0.8604543753724949,23.219401730570123
42739747.79834025,261000,0.01527186733728895,16275.382298214658
778827.6495264998,261000,0.07230691368652639,198.40139828601525
1188249.1657051048,261000,3477.484537692709,355.26787958049994
3160718.241443336,261000,59.66615981428538,1111.003157641125
144459.3974893879,261000,55.588718326158585,-44.65157184314641
204296.92753451472,261000,242.65591414768306,-21.72531512087559
759895.4857747806,261000,351213581.8942067,191.14769569914966
2311832.209637713,261000,4.031756532821984,785.759467294143
306869151059.70215,261000,0.014936493645719176,117574287.37919621
1927212.4762423045,261000,285.4215874438121,638.3955847671665
337368.2335545746,261000,0.11085456005164733,29.25985959945387
53337737.27666342,261000,0.015403968876157019,20335.914665388285
289154.48860047065,261000,0.20125194205154145,10.787160383322087
2287853.539566696,261000,560.8809849282211,776.5722373818759
898354.9869175876,261000,0.46648828664669445,244.1973129952443
479018.85201082693,261000,0.03258593206058169,83.53212720721338
8547758.582172297,261000,1.0508421119539373,3175.0032881886195
1026975.279154235,261000,682.2121791949849,293.4771184498985
283034.5620976082,261000,10365.724593273535,8.442360956938018
279456.4683145708,261000,670.4241969926599,7.071443798686124
192705.94106257366,261000,8.080999949836196,-26.166306106293614
585301.8464763274,261000,1356.3585921840433,124.2535810254128
100233.1807881561,261000,3.118870733986132,-61.59648245664516
469499.9546680676,261000,18.77412468207266,79.8850401027079
139724.49609576567,261000,105.44724989759119,-46.465710308135755
289048.1934981667,261000,140351.57380146705,10.74643429048532
5341303.749368105,261000,9.30446844368013,1946.4765323249444
173235.36268592492,261000,100.99231101901763,-33.626297821484705
233366.44458503995,261000,2.6124344426764927,-10.587569124505766
6005284.823382666,261000,894822.0158479351,2200.8754112577262
145080.18248916368,261000,2.2496699480604296,-44.41372318422847
525322.8787372556,261000,0.1766774897503266,101.27313361580674
153150.8036163749,261000,924.974336085844,-41.32153118146555
148236.09098429844,261000,0.08890347960090295,-43.204562841264966
224961.8973658977,261000,9.404364665830135,-13.807702158659888
299582.10275609134,261000,0.4120518731306874,14.782414849077142
245892.59230386245,261000,8386.326112730098,-5.788278810780672
28725204.542178005,261000,1.6416777537347704,10905.825495087358
1045030.8021607669,261000,218.94170760014936,300.39494335661567
5654087.014541145,261000,413.9352407541998,2066.316863808868
1645998.8476392836,261000,26229.727951916342,530.6508994786527
258201.56650033774,261000,133369.19432042708,-1.0721967431656183
51668019.23396059,261000,0.017024032729635905,19696.17595170904
1835257743.602762,261000,0.015444708142887762,703063.8864378398
3244638.2776192715,261000,0.027821117709439194,1143.1564282066174
1070635.6454641044,261000,47.39447037634405,310.2052281471664
924471.8908900984,261000,9.191673032159922,254.20378961306454
982785.2914580081,261000,14.952078738319477,276.54608868122915
805586.3326283672,261000,126.25776228305047,208.65376729056217
225043.23284303705,261000,0.11671895338224642,-13.776539140598828
469787.070811544,261000,1263.7851501270625,79.9950462879479
4943271.055696788,261000,108.92322879896898,1793.9735845581563
54356960400.21829,261000,0.014932875866076636,20826321.60927904
169847.07470741455,261000,0.45703027221050235,-34.92449244926646
202278.27521738425,261000,1744.1972116567526,-22.498745127438987
124757.68887524995,261000,167.63445192637823,-52.200119204885084
94346.27108051295,261000,48792.014335011765,-63.85200341742798
6894901.001006507,261000,0.015547353310358416,2541.724521458432
348374.3350660895,261000,183.08089386367524,33.4767567303025
50531.0951571915,261000,2611456.578928689,-80.6394271428385
1987779475.1503277,261000,0.015258271986864283,761501.3314752213
438559.70629250974,261000,0.4335983469877613,68.0305388093907
97103.56106585216,261000,62349.27617338244,-62.79557047285357
7534077.464395753,261000,44779.18854770345,2786.6197181592925
388207.57060613343,261000,1.1443441912785997,48.73853279928484
1738100326.500703,261000,0.014981118258830167,665838.8224140625
346058.4725889689,261000,33976.987400863654,32.589453099221814
13308536.08992564,261000,0.21442159762603696,4999.055973151586
120373.09982140722,261000,419543.3464287507,-53.88003838260259
348608.36469167034,261000,2665.118102386178,33.56642325351354
284780.7115337967,261000,4.93047503676097,9.111383729424016
984374.9620288879,261000,0.46270728566716757,277.1551578654743
2035333.0898587883,261000,0.03179389415410523,679.8211072255893
4365001.846824757,261000,0.020461751100314906,1572.4145006991405
5386043.221769042,261000,15.406490087428269,1963.6180926318168
468126.3577786518,261000,9.825381533191802,79.3587577695984
144136.81112404465,261000,2360.182325021878,-44.775168151707035
305295.40448254487,261000,122712.59681185005,16.971419341971213
41556744482.15321,261000,0.014926761610019088,15922024.322664065
5169914.149078516,261000,0.07455818449272436,1880.8100188040291
132670.7338451855,261000,28.32721205460043,-49.16830120874119
18282205.15517741,261000,0.01891860843044212,6904.676304665675
