final_value,total_invested,total_btc,roi_percent,reserve_deployments
150669150.5863807,261000,0.012985187049683936,57627.643902827855,199
137932.21527299847,261000,40933457.71515203,-47.1524079413799,260
232302.50055338387,261000,0.4600451844660496,-10.995210515944876,249
2166671.531245677,261000,183.7795135256773,730.1423491362747,260
257536.72032285784,261000,4.378312126489376,-1.326927079364811,259
127376.62352165979,261000,2.573099460995023,-51.196695968712724,253
550557.1595346809,261000,0.08251709575756803,110.94144043474363,256
228448.50495722666,261000,2.9470480473631384,-12.471837181139211,257
122628.1340463505,261000,4158.625203650752,-53.01604059526801,259
172711.7186107878,261000,1.9305392995216812,-33.82692773533035,245
256862.46442207694,261000,122390.15177177884,-1.5852626735337394,259
637548.8983735786,261000,13.069572318597784,144.27160857225232,250
1011164.7872082655,261000,95280.36577605859,287.4194587004849,260
447408.9281619675,261000,2.323228210007068,71.42104527278448,255
1188580.1673125692,261000,0.020249283774888882,355.39470011975834,255
191318.3016680146,261000,0.05632048371533753,-26.697968709572944,256
320622.58824889554,261000,0.8578322310238594,22.843903543638138,256
34222029.936323404,261000,0.012228296331232865,13011.888864491726,245
825741.4629671389,261000,0.07666242553978485,216.37603945101108,253
1194650.3206304675,261000,3496.2179127446625,357.7204293603324,260
3166886.0931108324,261000,59.782592851080075,1113.3663191995527,259
145127.71056441707,261000,55.84588863094415,-44.39551319370993,259
204302.51350791997,261000,242.6625489488003,-21.72317490118009,259
759895.7010947226,261000,351213681.4122187,191.14777819721175,260
2585845.392706026,261000,4.509626179377408,890.7453611900482,236
245496211208.9997,261000,0.011949238253857462,94059751.03793092,233
1927437.649870252,261000,285.45493582398893,638.481858187836,260
328993.0092142524,261000,0.10810257655931275,26.05096138477104,257
42707317.228250824,261000,0.012333897517170664,16262.956792433266,246
306270.96521971637,261000,0.21316503452116117,17.34519740219018,246
2288178.963970851,261000,560.9607646681238,776.6969210616287,258
891582.0812196728,261000,0.46297132373041944,241.6023299692233,258
436562.70893454686,261000,0.029697793132373643,67.2654057220486,242
8765421.86705577,261000,1.077601144018651,3258.3991827799887,249
1026970.9369632108,261000,682.2092947091932,293.47545477517656,258
283069.5564290329,261000,10367.006209197702,8.455768746755892,260
279459.05504211667,261000,670.4304026272914,7.072434882037039,259
192617.94703930247,261000,8.077309976949426,-26.200020291454994,256
585327.1374701066,261000,1356.4172006728493,124.26327106134352,260
100153.2746224669,261000,3.116384361712266,-61.627097845798126,257
469439.0189265759,261000,18.771688014726934,79.86169307531642,259
139770.93755102565,261000,105.48229832413948,-46.447916647116614,259
289048.28639095585,261000,140351.61890691813,10.74646988159228,259
5530753.230615681,261000,9.634486507181608,2019.062540465778,204
173249.09548108,261000,101.0003169290002,-33.6210362141456,259
233187.39659299268,261000,2.610430079357901,-10.65616988774227,258
6005310.669017541,261000,894825.8669963452,2200.885313799824,260
145185.24378982533,261000,2.251299069603755,-44.37346981232746,257
527397.8269772375,261000,0.17737533989400028,102.0681329414703,259
153159.07142164107,261000,925.0242705785556,-41.31836343998426,260
145469.84731777423,261000,0.087244445787039,-44.264426315029034,258
225050.87808273532,261000,9.408084438463485,-13.773609929986469,257
297407.48207489867,261000,0.40906085158170086,13.94922684862018,257
245931.2490033812,261000,8387.644524503175,-5.773467814796473,260
28773652.554076567,261000,1.6444466121159096,10924.387951753473,225
1045087.0781461743,261000,218.95349783668257,300.4165050368484,260
5655281.377508718,261000,414.0226799678622,2066.774474141271,260
1646003.7614267145,261000,26229.806255317166,530.6527821558293,260
258201.8195398917,261000,133369.32502328028,-1.072099793144942,260
41377818.92776595,261000,0.013633527163437938,15753.570470408411,249
1489477441.8556385,261000,0.012534775812859724,570581.0122052255,201
2925482.4221787136,261000,0.02508451909284899,1020.8744912562121,248
1073066.8808471577,261000,47.502095331508045,311.1367359567654,259
924226.5472563022,261000,9.189233673554648,254.10978822080543,257
1025843.5258782924,261000,15.60716598573848,293.04349650509283,247
807886.5991629041,261000,126.61827796404226,209.5350954647142,259
219299.65474505106,261000,0.11374003943848122,-15.977143775842508,259
469835.7209742448,261000,1263.9160250638,80.01368619702866,259
4952525.869528277,261000,109.12715534742262,1797.5194902407193,248
43485969850.7537,261000,0.011946411000837499,16661191.130556973,180
169620.7894248905,261000,0.4564213760935256,-35.01119179122969,255
202349.75656635512,261000,1744.8135782409865,-22.47135763741183,260
124771.84882051684,261000,167.65347836623556,-52.19469393849929,260
94346.27752266158,261000,48792.0176666263,-63.8520009491718,260
5580576.043606244,261000,0.01258367414015123,2038.1517408453042,253
350077.34566881653,261000,183.97587570367625,34.12925121410595,260
50531.97033680412,261000,2611501.808377012,-80.63909182497927,260
1607268486.636466,261000,0.012337454949905988,615711.6807036268,229
450079.35559550585,261000,0.4449876762489551,72.44419754617083,247
97104.37665151092,261000,62349.79985320347,-62.79525798792685,260
7535476.954476027,261000,44787.50649113732,2787.1559212551824,260
387711.0497298832,261000,1.1428805650548803,48.548294915664066,244
1390761998.3023393,261000,0.011987322969095522,532759.0031809729,218
346062.32298100035,261000,33977.36544310767,32.59092834521086,260
15115608.870041467,261000,0.2435364025843579,5691.421023004394,207
120373.1587038301,261000,419543.55165507435,-53.88001582228732,259
348608.014997774,261000,2665.1154289691635,33.566289271177766,259
291185.8588975685,261000,5.041368850508972,11.565463179145013,259
978058.7589255383,261000,0.45973834262573765,274.7351566764514,258
1646734.4694964339,261000,0.025723603514311615,530.9327469334995,244
3737922.3893080424,261000,0.017522200504440293,1332.1541721486753,243
5889468.530270571,261000,16.846511399147683,2156.5013525940885,243
