Date,Price,Open,High,Low,Vol.,Change %,Swing (Day),Swing Ratio (Day),3 M High,3 M Low,Swing Ratio (M),Log Swing Ratio (M),YR HIGH,YR Low,Swing Ratio (YR),Swing Ratio (YR) log,LN(Price,,,,,,,,,,,,
9/3/2010,0.1,0.1,0.1,0.1,0.89K,0.00%,0,0,,,,,,,,,-2.302585093,47,,,,,,,,,,,
9/4/2010,0.1,0.1,0.1,0.1,3.30K,0.00%,0,0,,,,,,,,,-2.302585093,48,,,,,,,,,,,
9/5/2010,0.1,0.1,0.1,0.1,8.46K,0.00%,0,0,,,,,,,,,-2.302585093,49,,,,,,,,,,,
9/6/2010,0.1,0.1,0.1,0.1,0.91K,0.00%,0,0,,,,,,,,,-2.302585093,50,,,,,,,,,,,
9/7/2010,0.1,0.1,0.1,0.1,3.46K,0.00%,0,0,,,,,,,,,-2.302585093,51,,,,,,,,,,,
9/8/2010,0.1,0.1,0.1,0.1,2.35K,0.00%,0,0,,,,,,,,,-2.302585093,52,,,,,,,,,,,
9/9/2010,0.1,0.1,0.1,0.1,1.73K,0.00%,0,0,,,,,,,,,-2.302585093,53,,,,,,,,,,,
9/10/2010,0.1,0.1,0.1,0.1,4.94K,0.00%,0,0,,,,,,,,,-2.302585093,54,,,,,,,,,,,
9/11/2010,0.1,0.1,0.1,0.1,7.75K,0.00%,0,0,,,,,,,,,-2.302585093,55,,,,,,,,,,,
9/12/2010,0.1,0.1,0.1,0.1,0.79K,0.00%,0,0,,,,,,,,,-2.302585093,56,,,,,,,,,,,
9/13/2010,0.1,0.1,0.1,0.1,10.08K,0.00%,0,0,,,,,,,,,-2.302585093,57,,,,,,,,,,,
9/14/2010,0.1,0.1,0.2,0.1,14.02K,0.00%,0.1,1,,,,,,,,,-2.302585093,58,,,,,,,,,,,
9/15/2010,0.1,0.1,0.1,0.1,3.65K,0.00%,0,0,,,,,,,,,-2.302585093,59,,,,,,,,,,,
9/16/2010,0.1,0.1,0.1,0.1,0.73K,0.00%,0,0,,,,,,,,,-2.302585093,60,,,,,,,,,,,
9/17/2010,0.1,0.1,0.1,0.1,7.26K,0.00%,0,0,,,,,,,,,-2.302585093,61,,,,,,,,,,,
9/18/2010,0.1,0.1,0.1,0.1,7.09K,0.00%,0,0,,,,,,,,,-2.302585093,62,,,,,,,,,,,
9/19/2010,0.1,0.1,0.1,0.1,12.85K,0.00%,0,0,,,,,,,,,-2.302585093,63,,,,,,,,,,,
9/20/2010,0.1,0.1,0.1,0.1,14.31K,0.00%,0,0,,,,,,,,,-2.302585093,64,,,,,,,,,,,
9/21/2010,0.1,0.1,0.1,0.1,5.74K,0.00%,0,0,,,,,,,,,-2.302585093,65,,,,,,,,,,,
9/22/2010,0.1,0.1,0.1,0.1,11.56K,0.00%,0,0,,,,,,,,,-2.302585093,66,,,,,,,,,,,
9/23/2010,0.1,0.1,0.1,0.1,15.51K,0.00%,0,0,,,,,,,,,-2.302585093,67,,,,,,,,,,,
9/24/2010,0.1,0.1,0.1,0.1,0.68K,0.00%,0,0,,,,,,,,,-2.302585093,68,,,,,,,,,,,
9/25/2010,0.1,0.1,0.1,0.1,2.15K,0.00%,0,0,,,,,,,,,-2.302585093,69,,,,,,,,,,,
