Date,Close/Last,Open,High,Low
5/24/2025,108191,108349,108236,107230
5/23/2025,108121,111121,108335,106905
5/22/2025,111129,111749,111779,111039
5/21/2025,111831,106841,111831,109282
5/20/2025,107030,105767,107198,106211
5/19/2025,105681,103631,106808,105561
5/18/2025,103927,103296,107081,103765
5/17/2025,103263,103514,103412,103114
5/16/2025,103477,104029,103546,102627
5/15/2025,104080,102764,104450,103473
5/14/2025,102884,103586,103867,102781
5/13/2025,103570,101726,104116,103475
5/12/2025,101658,104089,102795,101510
5/11/2025,104075,104031,105032,103711
5/10/2025,104113,103226,104931,103477
5/9/2025,103178,102460,103267,102837
5/8/2025,102442,99154.5,103271,102366
5/7/2025,98987.3,96510.2,99153.1,96901.9
5/6/2025,94440.5,94772.1,94927.7,94051.5
5/5/2025,94510.3,94062.2,94927.7,94051.5
5/4/2025,94119.1,95737.2,94819.5,93590.8
5/3/2025,96120.2,96889.9,96922.2,96110.4
5/2/2025,96398.9,97109,96922.2,96317.9
5/1/2025,97165.1,94780.9,97232,96481.6
4/30/2025,94799.5,95009.5,95025,94168.1
4/29/2025,94976.9,94662.6,94986.2,94154
4/28/2025,94767.3,93855.2,95436.8,94461.4
4/27/2025,93829.5,94154.5,93953.8,92818.9
4/26/2025,94183.8,94750.1,95324.4,94081.7
4/25/2025,94759.5,93316.2,95207,94562.3
4/24/2025,93381.3,92689.3,94421,92867.2
4/23/2025,92757.8,93171.5,93785.1,92739.1
4/22/2025,93077.5,88157.5,93839.7,92621.1
4/21/2025,88153.5,87166.7,88826.5,87105.2
4/20/2025,87237,85167.5,87602.5,85148.8
4/19/2025,85139.1,84881.2,85321,85048.8
4/18/2025,84882.7,84829.8,84971.7,84366.5
4/17/2025,84808.9,83995.3,85106.1,84733.4
4/16/2025,83976.7,83718.1,84475.9,83822.8
4/15/2025,83711.5,85379.3,83949.1,83143.5
4/14/2025,85329.6,84563.9,85401.1,84357.1
4/13/2025,84582.1,85453.8,85521.9,83705.2
4/12/2025,85526.4,82967.7,85999.5,84749.9
4/11/2025,83084.1,80812.4,83558.1,82828
4/10/2025,80775.1,81754,80805.4,79004.2
4/9/2025,81683.2,75051.1,82737.5,81482.2
4/8/2025,75210.7,79894.6,76830.7,74657.3
4/7/2025,79783,77701.4,80839.8,78860.2
4/6/2025,77425.3,83334.7,79315.6,77364.5
4/5/2025,83285.7,83643.5,83731.7,83184.6
4/4/2025,83724,82803,84249.3,83472.9
4/3/2025,82806.9,83474.4,83396.3,82621.3
4/2/2025,83465.9,84568,83908.9,82193.8
4/1/2025,84595.6,82961.3,85249.6,84528.7
3/31/2025,83003,81520.7,83238.2,82435.8
3/30/2025,81573.8,83099.5,82408,81300.1
3/29/2025,82450.5,84410.4,84603.4,81668.2
3/28/2025,84234.7,86794.6,84603.4,83727.6
3/27/2025,86798.8,87663.6,87507.5,86764.3
3/26/2025,87641.4,87153.8,87751.4,86808
3/25/2025,87079.2,86523.6,87877.9,87079.2
3/24/2025,86501.2,86557.9,87680.4,86363.4
3/23/2025,86390.1,84207.5,86609.5,85541.6
3/22/2025,84249.1,84251.2,84275.4,83812.7
3/21/2025,84222.6,84446.9,84329.7,83987.3
3/20/2025,84476,85893.1,84831,84176
3/19/2025,85863.2,83047.5,87419,85658
3/18/2025,82962.4,83145.6,83243.7,82557.5
3/17/2025,83746.5,83054.2,84019.1,83722.6
3/16/2025,83665.4,84341.5,83665.4,82565.1
3/15/2025,84295.1,84492.8,84364.6,83753.5
3/14/2025,84479,81891.2,84679.5,83974.2
3/13/2025,81809.9,83576.2,82241.1,80833.2
3/12/2025,83632.9,82123,84292,83357.2
3/11/2025,82222.1,79510,83750.2,82146.1
3/10/2025,79647.5,82045.6,79813.6,76677.1
3/9/2025,82197.8,86124.6,82697,80122.6
3/8/2025,86027.7,86459,86498.6,85959.8
3/7/2025,86485.8,87663.8,86886.8,85264.6
3/6/2025,87609.3,92283.4,90978.9,84864.3
3/5/2025,92242.8,86887.7,92245.1,89994.6
3/4/2025,87008,83380.9,87870.1,86429.4
3/3/2025,83745.7,92846.7,86756.4,82558.2
3/2/2025,92940.1,85747.2,94266.1,92454.3
3/1/2025,85827,84290.5,86546.3,83837.3
2/28/2025,86074.4,84290.5,86546.3,83837.3
2/27/2025,80505,84737.3,84876.3,79535.1
2/26/2025,85147,88142,85401.8,84085.5
2/25/2025,88825.9,91843,89375.3,88136.2
2/24/2025,92095.2,96251.6,92523.1,91014.6
2/23/2025,95343.7,96654.9,96497.9,95118.7
2/22/2025,96437.7,96178.6,96655.2,96383.1
2/21/2025,96376.2,98242.3,96463.8,95801.1
2/20/2025,98206.6,96856.1,98509.9,98096.6
2/19/2025,97194.1,96644.8,97347.7,96441.9
2/18/2025,95439.1,95638,95930,95057.5
2/17/2025,95985.7,96035.1,96319.9,95559.7
2/16/2025,96115.5,97532.8,96612.6,96041.2
2/15/2025,97526.4,97665.4,97706.5,97431.6
2/14/2025,97556.3,96753.8,97973.2,97252.5
2/13/2025,96789,96932.8,97222.4,96399
2/12/2025,97003.8,95543.2,98079.6,97003.8
2/11/2025,95525.6,98070.9,96259.8,95128.9
2/10/2025,98069.6,96938.9,98115.4,97434
2/9/2025,96852.7,96218.7,97297.8,96369
2/8/2025,96623.3,95981.2,96862.8,95716.1
2/7/2025,96402.1,97460.6,96862.8,96237.1
2/6/2025,97467.5,97623.4,97872.2,96424.2
2/5/2025,97631.2,98042.5,97824,96510.6
2/4/2025,98213.4,100069,98890.5,97183.6
2/3/2025,100151,92749.8,101693,100151
2/2/2025,93027.2,99539.8,97686,91695.8
2/1/2025,100785,102142,102771,100748
1/31/2025,102381,104005,102771,102138
1/30/2025,104197,105498,105001,103959
1/29/2025,105361,102007,105364,103388
1/28/2025,102070,102920,102275,101342
1/27/2025,102979,100400,103362,101356
1/26/2025,100482,105153,103235,100447
1/25/2025,105214,104644,105400,104521
1/24/2025,104861,104657,105256,104390
1/23/2025,104563,102031,104719,102760
1/22/2025,102011,105580,103789,101597
1/21/2025,105559,102316,106266,105366
1/20/2025,102312,102228,103190,100193
1/19/2025,102381,104947,102733,99676
