Date,Open,High,Low,Close,Volume,Price
2024-08-04,60674.93,61082.3,57123.0,58130.95,10319.01091658,58130.95
2024-08-05,58131.31,58282.83,49050.01,54029.12,59125.78926672,54029.12
2024-08-06,54037.9,57091.16,53965.57,56048.08,16897.67519536,56048.08
2024-08-07,56048.07,57757.15,54564.15,55148.1,13971.5151871,55148.1
2024-08-08,55144.14,62755.24,54737.32,61705.58,20623.04985861,61705.58
2024-08-09,61704.05,61764.38,59552.46,60862.13,11569.80744379,60862.13
2024-08-10,60864.71,61500.0,60255.61,60935.02,3157.63609699,60935.02
2024-08-11,60935.01,61868.69,58312.63,58722.49,5229.37008498,58722.49
2024-08-12,58717.44,60721.77,57653.31,59358.78,12183.92944247,59358.78
2024-08-13,59358.78,61615.43,58402.01,60603.19,10879.76363828,60603.19
2024-08-14,60603.19,61827.2,58453.56,58690.62,12938.61473824,58690.62
2024-08-15,58690.62,59883.49,56120.0,57543.61,14506.63316989,57543.61
2024-08-16,57543.57,59871.61,57096.56,58888.99,11930.21788221,58888.99
2024-08-17,58888.99,59711.02,58803.45,59497.49,2787.56355634,59497.49
2024-08-18,59497.49,60284.99,58422.0,58437.9,4325.64817169,58437.9
2024-08-19,58436.2,59639.81,57820.0,59452.67,8539.29378706,59452.67
2024-08-20,59455.81,61457.03,58571.96,59017.59,11062.05279919,59017.59
2024-08-21,59017.59,61849.98,58793.89,61163.28,13380.11101719,61163.28
2024-08-22,61167.54,61430.48,59750.0,60383.29,9608.6955368,60383.29
2024-08-23,60383.28,64987.0,60343.2,64086.72,17852.77117167,64086.72
2024-08-24,64091.63,64529.78,63564.22,64179.63,5020.91676004,64179.63
2024-08-25,64179.63,65050.08,63793.74,64251.93,4012.30764642,64251.93
2024-08-26,64250.01,64509.36,62806.8,62840.0,10741.96651081,62840.0
2024-08-27,62840.09,63226.26,58025.49,59439.64,14195.89496578,59439.64
2024-08-28,59437.68,60236.98,57851.62,59045.88,10001.12169866,59045.88
2024-08-29,59047.94,61194.09,58729.39,59364.47,10933.22040343,59364.47
2024-08-30,59353.12,59929.63,57700.0,59112.77,9382.9124508,59112.77
2024-08-31,59117.59,59446.99,58739.31,58968.37,1368.21775121,58968.37
2024-09-01,58968.37,59070.55,57200.0,57299.0,4411.05388122,57299.0
2024-09-02,57291.21,59423.0,57119.01,59139.83,4318.6544603,59139.83
2024-09-03,59138.89,59825.7,57394.49,57468.84,8264.44971184,57468.84
2024-09-04,57460.5,58531.25,55555.0,57971.0,13715.96171494,57971.0
2024-09-05,57971.0,58326.12,55628.04,56156.82,12281.57828747,56156.82
2024-09-06,56156.82,56995.0,52530.0,53950.01,18495.45064356,53950.01
2024-09-07,53950.0,54847.0,53733.1,54156.33,3284.57722628,54156.33
