Year,Mean_Price,Median_Price,Std_Dev,P5_Price,P25_Price,P75_Price,P95_Price
0.0,118075.0,118075.0,0.0,118075.0,118075.0,118075.0,118075.0
0.25,119602.06390847136,116990.31439719365,23135.81808758541,86852.99605768913,103488.12498482857,134273.9011532581,158313.56184704258
0.5,120320.0012870273,116842.74987218007,28485.412239565307,80550.83840716488,99532.27387875566,137873.85971779382,170873.2234351094
1.0,127548.23595899486,123746.98623892394,33686.15595393709,82303.11968403494,103020.59155517927,146118.85372051504,187301.83166127172
2.0,154501.24632492888,148732.71346111398,39424.530915801486,102691.01158947892,126413.27195455997,177302.36911204192,225175.11978697608
3.0,189169.0752261665,182688.52074267232,43224.866144204,132525.8654049355,159617.13952089727,211957.47921423262,268273.1662057732
5.0,283013.0668400187,275131.47443165793,55012.84440578409,204697.1245728072,244518.8162647089,314849.9946309303,381361.3887354083
10.0,681586.8037827623,676435.2961712691,86000.44164057313,553168.2642861719,619949.8460881734,733596.11383618,831529.3594136114
