Year,Formula_Day,Formula_Price,Growth_Rate_Pct,Volatility_Pct
0.0,6041,107641.77930533672,0.0,43.63887195192645
0.25,6132,114632.61095934096,25.16938850928278,42.54185432654879
0.5,6223,121964.3570417954,24.983998156087594,41.47835922672515
1.0,6406,137786.38514318859,24.689569625298635,39.447870398176946
2.0,6771,173975.61206323473,24.005313648150036,35.746134987222604
3.0,7136,216995.87403593125,23.368982794279912,32.47654778307232
5.0,7867,327115.41880741913,22.23008430924782,27.037908134285445
10.0,9693,787409.5121811115,19.899396030588438,18.113671837822714
