reserve_pct,buy_tiers,sell_tiers,median_value,mean_value,std_value,cagr,max_value,min_value,percentile_25,percentile_75,median_improvement,mean_improvement,cagr_improvement,sharpe_ratio,win_rate,beat_dca_rate
10,"[(20, 50), (40, 100)]","[(20, 20), (40, 40), (60, 60)]",64161.02183375599,62825.54410555178,27482.808867183372,1.3500586410528426,156172.2773382027,14857.583022298524,41418.68257797618,75323.39711856129,16.247680703797922,-4.92945894143413,3.0062225151443633,-0.11853003949090632,59.199999999999996,49.2
30,"[(10, 20), (20, 40), (30, 60)]","[(25, 25), (50, 50)]",63792.9192660103,62563.37699713714,24355.687088246337,1.2334983782338549,154453.75624869074,12792.30534862784,43981.43306531178,76064.34037578682,15.5807482183331,-5.326182427073427,2.8896622523253757,-0.14451267648538121,61.6,53.2
50,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",63739.522110276215,63485.404263635784,24104.547328415912,1.216545425703286,173240.6518126687,18951.391237424796,45155.19689900534,76400.57999147609,15.484002634599253,-3.930927800237162,2.8727092997948067,-0.10776714562907264,63.2,53.2
20,"[(10, 40), (20, 60), (30, 80)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",63670.06282170754,64445.95048979273,27649.20227086947,1.1944759293048612,235441.1756167958,13399.322524388328,43050.4817352172,80759.3184029368,15.35815549300657,-2.4773844886331977,2.850639803396382,-0.059210823519207485,59.8,52.400000000000006
20,"[(20, 50), (40, 100)]","[(20, 20), (40, 40), (60, 60)]",63630.88703226799,62193.6222741607,25155.815735362783,1.1820199983140212,160009.90261693447,14675.314520684618,42264.74585632229,74964.68738119464,15.287176345045234,-5.885712504732138,2.838183872405542,-0.1546147536083177,61.0,53.2
30,"[(15, 30), (25, 50), (35, 70)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",63421.49467520352,63285.43738310097,27393.200522888623,1.1153395359892349,154271.9990668036,16501.209769204143,41222.61961074792,78091.5934651303,14.907796853102045,-4.233527002470863,2.7715034100807556,-0.10212918130765651,59.0,53.800000000000004
10,"[(10, 40), (20, 60), (30, 80)]","[(20, 20), (40, 40), (60, 60)]",63369.507127634635,62739.38118960391,25430.830484024016,1.0987569467264757,170548.6462685038,11622.423006128996,41441.44256961803,78771.74616252175,14.813605213729161,-5.0598446811037325,2.7549208208179965,-0.1314821919951337,58.8,49.6
50,"[(20, 50), (40, 100)]","[(20, 10), (40, 20), (60, 30)]",63121.46616854225,63599.12131398058,26191.83510970742,1.0194885786322772,177772.9720487,15208.12783836895,43652.57640439195,76571.02277734988,14.364201738068402,-3.758845860354556,2.675652452723798,-0.09483723463877695,62.0,52.2
20,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(25, 25), (50, 50)]",63103.5210264909,62422.99046755686,25299.943938602348,1.0137440502902662,159326.3985396906,14638.319741261339,43213.84048792459,76835.85818345036,14.331688522353497,-5.538621865753142,2.669907924381787,-0.1446679908550576,57.99999999999999,53.0
20,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(30, 15), (50, 25), (70, 35)]",63074.83626643606,62320.099665548994,26280.22648787321,1.0045588829343366,182545.00198573945,17074.75404587731,41000.74883098786,78248.60297731291,14.279717142649485,-5.694321022140922,2.6607227570258574,-0.1431868504667362,58.4,52.400000000000006
30,"[(15, 30), (25, 50), (35, 70)]","[(20, 20), (40, 40), (60, 60)]",63048.39033416366,64165.50994065879,26506.07474970747,0.996087651050459,173421.48845845993,18851.93842308717,43833.24832393136,79818.7498380512,14.231802096990116,-2.901760196325145,2.65225152514198,-0.07234464564627503,60.4,54.2
50,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(25, 25), (50, 50)]",62946.1835588229,62962.44091823692,23340.132068713352,0.9633217569422703,156778.69522170947,18226.033298319926,44304.414157011845,76551.16296372062,14.046622680484521,-4.72230030498359,2.619485631033791,-0.13370282560852553,63.6,51.4
30,"[(15, 30), (25, 50), (35, 70)]","[(25, 25), (50, 50)]",62899.17643187713,62731.47950371787,24996.389479189096,0.9482377161283084,143183.75017982075,15422.718216404292,42316.16855702398,78037.64180451438,13.96145462474262,-5.071801880411051,2.604401590219829,-0.13408348533585557,60.0,53.6
10,"[(10, 20), (20, 40), (30, 60)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",62817.63063716436,62194.06326314463,26514.478297534828,0.9220492126550628,147746.18289955496,15996.41299219516,39751.01249446655,78508.52537070363,13.81370901166511,-5.885045179651233,2.5782130867465836,-0.14667530769847384,59.0,51.2
10,"[(10, 20), (20, 40), (30, 60)]","[(20, 20), (40, 40), (60, 60)]",62809.20114501791,61539.078433390794,25019.084684976908,0.919340523137202,188809.87862039183,16126.037339801524,40972.391510643676,75482.91141158127,13.798436360396021,-6.876198746824986,2.575504397228723,-0.18162151612356062,59.0,51.4
20,"[(15, 30), (25, 50), (35, 70)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",62804.37075627093,62584.01770348663,25510.823252182585,0.9177882198611931,164226.04680175582,15277.297569857128,42318.683982385075,77622.86900272529,13.78968460625175,-5.294947948352792,2.573952093952714,-0.137160011961357,57.199999999999996,53.400000000000006
30,"[(10, 20), (20, 40), (30, 60)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",62786.1758814535,61981.45689220212,24183.837535696093,0.9119402213192629,126816.67302357584,14020.452727368664,42699.25768817338,77507.41569171021,13.756718921825732,-6.206771047779706,2.5681040954107837,-0.16960193466582002,57.99999999999999,51.0
