reserve_pct,buy_threshold,sell_threshold,median_value,mean_value,std_value,median_improvement,mean_improvement,sharpe_ratio,win_rate
10,25,20,62865.51908596777,65072.634245525034,31072.03068404241,22.104052341632148,4.735125586468873,0.09468210290525104,63.800000000000004
50,20,20,62699.51845715336,63217.982510592614,28121.64219496016,21.781628383885455,1.7500430762942123,0.03866465067122092,67.60000000000001
30,20,20,62634.7514200498,62201.411005768074,25737.81114818112,21.655831002371887,0.11385997936133037,0.002748561893526059,66.4
50,5,20,61723.689471243226,63273.540322013585,28366.6879874475,19.88627023995423,1.839463989154904,0.040289204143109776,65.0
40,10,20,61655.003141929454,63103.77451671606,27124.330207118546,19.752860395072258,1.5662240451403904,0.035875742201267886,68.0
40,30,40,61546.78326676588,64170.852944168284,28835.713833615635,19.54266432107965,3.283698593475675,0.07075198197335758,66.2
50,30,60,61527.87976354409,63727.99615679095,27117.959126583897,19.505947940138345,2.5709156889481077,0.05890292519844041,65.4
10,10,40,61421.94145035514,65151.69715424463,30965.70468102496,19.300183356839202,4.862378213782761,0.09756045103899845,61.4
30,15,40,61381.74568176397,65731.85230585428,36772.9801987494,19.22211088876244,5.796144356309126,0.09793014456721505,64.0
40,20,60,61329.02621898684,63865.04172719711,36124.909135462905,19.11971357882281,2.7914920524836835,0.048010437392937456,61.6
40,15,60,61324.1608136,64919.53539075868,30056.95114898566,19.11026347449447,4.4887112839435215,0.0927860692893127,65.60000000000001
40,20,20,61121.572578824205,62238.95145428388,26552.25934890208,18.716775203300287,0.17428174705925928,0.004078086690763857,63.800000000000004
50,15,40,61022.23413016088,63040.741891822654,29949.197903046406,18.52382957409876,1.4647723372020451,0.03038721958248736,62.6
40,25,20,61010.98254243926,61905.56241060546,25082.12685060888,18.50197555179746,-0.36231161148013863,-0.008974782304495365,64.0
50,10,20,60855.196496950535,62917.28566006441,31905.192807107105,18.199391436864136,1.2660681647407732,0.024654814844615857,63.6
40,30,20,60846.8536176027,61906.749317123926,25712.8768668482,18.183187015245107,-0.36040127229205765,-0.008708466301108005,65.8
50,30,20,60839.317845769445,61306.858320587686,25047.039480457515,18.1685502431045,-1.3259324758292155,-0.032890542568054404,66.8
50,25,40,60770.41669577625,61847.588509218585,27071.02381363529,18.034723150805103,-0.45562124790244857,-0.010456956912809623,63.6
30,30,40,60761.86938038048,63522.986467856885,28809.605141692507,18.018121651896955,2.240950323846438,0.048328237134307214,65.2
40,15,20,60694.8636000348,61345.34154595572,28247.34662113638,17.887975946755592,-1.2639932983450826,-0.027801814570436904,61.6
50,30,40,60687.68662322231,61946.89817451854,25483.298213212074,17.87403606420777,-0.2957812416120017,-0.007211423841894907,68.4
30,25,20,60674.47384584976,61022.94164133706,25584.506407564793,17.848372812184504,-1.7828995158480698,-0.04329680549001398,63.2
50,25,20,60528.24722824585,62072.235758395014,25494.60272325173,17.56435602795607,-0.09404901207789271,-0.0022919863103066096,64.60000000000001
30,15,20,60510.95396781748,61815.41185309721,27024.715546862215,17.53076723067571,-0.5074099323302106,-0.011665513562188257,64.8
20,20,20,60336.8083191314,63306.871856314894,30540.04667316136,17.192523154886654,1.8931114628051255,0.03851345841344539,61.6
50,15,20,60249.008404860586,59833.31754704706,25554.3066315416,17.021988886123935,-3.6976126723193885,-0.08990075625611925,62.6
50,20,40,60241.649451894715,62178.4055430059,28036.350107788257,17.007695550266874,0.07683243222869489,0.0017026647191578593,63.6
40,30,60,60075.25453919869,61940.658885261335,28007.74019835218,16.684505772712786,-0.30582344678011886,-0.0067842015177381945,64.4
50,25,80,60014.967959929,61441.05498876174,25045.23966100698,16.567410809723963,-1.1099414519917008,-0.027534735518436153,62.6
50,30,80,59930.33586676906,63223.89561267614,28143.621696580936,16.403029417774402,1.7595602795933296,0.0388445590137228,64.60000000000001
50,20,100,59890.28359587861,62696.15396997536,28150.22314159641,16.325235666091203,0.9101542602069795,0.02008811540525079,62.8
40,30,100,59826.308163184025,63961.16013456193,27714.60500425644,16.200975822286594,2.9461956937799925,0.06604788686172457,63.800000000000004
10,5,60,59820.37270139651,67833.02593311339,41523.63780045727,16.18944734137509,9.178006582750232,0.1373279701959826,62.2
30,10,20,59818.78965986568,61924.52434404285,27017.562015869767,16.18637259087991,-0.331792169583345,-0.007630025783209938,63.2
50,10,60,59751.78801801789,61492.52007476136,27828.82693565979,16.056234923966343,-1.0271078260291886,-0.022931220404562826,60.6
20,10,40,59749.55760885129,64385.83339047176,31307.63859474619,16.051902787660442,3.6297120030031667,0.07203240017044243,63.800000000000004
20,25,20,59745.92517266796,61009.89895077472,26732.66416675458,16.04484748637118,-1.8038918707737768,-0.04192511756619131,61.4
30,25,40,59737.5717304608,63524.74282377304,31439.679438880077,16.0286225484509,2.243777198147533,0.04434122134291353,61.6
50,10,100,59691.077449542034,61568.09597771373,27689.45202097739,15.93831644435069,-0.9054675731210091,-0.020317233460722804,59.599999999999994
20,15,20,59684.15356605377,61624.230740676576,29335.52123914873,15.92486814639419,-0.8151180503631474,-0.017263654326038935,60.199999999999996
50,20,60,59655.487091773044,60165.21675552842,24784.144055107172,15.869189091692718,-3.1634172200316217,-0.07930281065687972,63.6
30,25,60,59538.814038887154,64387.230628350735,31942.305080327897,15.64257436292614,3.6319608728456974,0.07064492007864068,63.0
50,15,100,59534.27294083382,62339.29198737501,26570.35254401028,15.633754162561065,0.33578094647787,0.007851719250094173,63.800000000000004
20,5,80,59532.76823469598,65552.38489578104,33486.89168819798,15.630831563341566,5.507289571949579,0.10218075445215379,60.199999999999996
20,20,40,59520.17558302802,63849.61131093883,30767.01844830174,15.606372784972441,2.766656626603052,0.05586964089496621,61.8
40,30,80,59479.614122460014,62322.8265484379,28904.56717189916,15.527590031306215,0.3092796401313738,0.00664799816830685,61.0
40,5,20,59282.36382134825,61051.01858823523,28697.470036041985,15.144469658778664,-1.7377093588249373,-0.037621799037762485,61.4
40,25,40,59259.52088985409,61717.387412271535,26942.355569240637,15.100101704081828,-0.665181355593695,-0.01533947636797245,62.4
