Years,Current_Model,Better_Model,Realistic_Model
0.5,0.02937532038032245,0.9566460917971317,0.9721415952850117
1.0,0.016804182837429925,0.9164247858550347,0.9481636441363437
1.5,0.012369359778328714,0.8791097312556262,0.9275256303243548
2.0,0.010103085059497577,0.8444909324090307,0.9097623272188053
2.5,0.008727268702965913,0.8123735672745833,0.894473310548203
3.0,0.007803270682255439,0.7825768909730639,0.8813139319481199
3.5,0.007139916099917372,0.754933218620089,0.8699875498222311
4.0,0.006640552584670232,0.7292869816564159,0.8602388423824405
4.5,0.00625105845025036,0.7054938523645296,0.8518480521291784
5.0,0.005938767306833408,0.6834199316446088,0.8
5.5,0.005682794912430411,0.6629409954789696,0.7809674836071919
6.0,0.005469166542418369,0.6439417958443595,0.7637461506155964
6.5,0.005288177780837952,0.6263154121378942,0.7481636441363435
7.0,0.005132879165867076,0.6099626494666932,0.7340640092071279
7.5,0.004998163356726893,0.5947914804150098,0.7213061319425267
8.0,0.004880192695496302,0.5807165271473214,0.7097623272188053
8.5,0.00477602774042138,0.5676585809328444,0.6993170607582819
9.0,0.004683379004533905,0.555544156387535,0.6898657928234443
9.5,0.004600436722456977,0.5443050779250053,0.6813139319481198
10.0,0.004525751458052938,0.5338780960890579,0.6
10.5,0.004458148678390564,0.5242045316086916,0.592684413675107
11.0,0.004396666530662206,0.5152299451724525,0.5857256127053939
11.5,0.004340509787848625,0.506903831063739,0.5791061964637587
12.0,0.004289015264890751,0.49917933293295197,0.5728096129616973
12.5,0.004241625505163897,0.4920129801069571,0.5668201174607107
13.0,0.0041978685183265965,0.48536444295190817,0.5611227331022577
13.5,0.00415734200588891,0.47919630591269813,0.555703213457807
14.0,0.004119700956170185,0.4734738569517892,0.5505480069053459
14.5,0.004084647797865254,0.46816489220245827,0.545644222743266
15.0,0.0040519245169986515,0.46323953473711865,0.5409795989568951
15.5,0.004021306295206482,0.4586700664308101,0.536542471557073
16.0,0.00399259633749017,0.4544307719736475,0.5323217454141039
16.5,0.003965621637817151,0.45049779415438623,0.5283068665141524
17.0,0.003940229489992861,0.4468489996006919,0.5244877955687114
17.5,0.003916284595132601,0.4434638542205509,0.5208549829111522
18.0,0.0038936666500174817,0.4403233076438499,0.5173993446175833
18.5,0.0038722683255774395,0.4374096860138041,0.514112239792309
19.0,0.0038519935638058733,0.43470659252490307,0.5109854489610899
19.5,0.0038327561360832823,0.4321988151476381,0.5080111535181752
20.0,0.0038144784172661874,0.4298722410207184,0.5051819161757164
